"","n_versions","n_fixes","n_refact","n_authors","lines_added","max_lin_add","avg_lin_add","lines_rem","max_lin_rem","avg_lin_rem","code_churn","max_code_churn","avg_code_churn","age","weighted_age","class"
"271",18,3,0,4,80,27,444.444,101,33,561.111,-21,6,-116.667,367,805.321,"NO_BUG"
"272",46,4,0,6,943,310,20.5,964,310,209.565,-21,10,-0.456522,367,343.077,"NO_BUG"
"273",42,14,0,7,539,170,128.333,289,170,688.095,250,74,595.238,333.143,689.268,"NO_BUG"
"274",6,3,0,2,23,10,383.333,37,31,616.667,-14,6,-233.333,113.857,20.323,"NO_BUG"
"275",31,11,0,5,562,75,18.129,312,65,100.645,250,74,806.452,264.857,341.734,"NO_BUG"
"276",16,6,0,6,130,22,8.125,51,20,31.875,79,22,49.375,198.143,502.901,"NO_BUG"
"277",14,3,0,3,443,180,316.429,51,22,364.286,392,180,28,222.857,135.824,"NO_BUG"
"278",21,4,0,6,129,32,614.286,110,32,52.381,19,8,0.904762,367,100.924,"NO_BUG"
"279",24,8,0,6,225,77,9.375,189,77,7.875,36,47,1.5,333.143,665.175,"NO_BUG"
"280",5,4,0,1,22,19,4.4,18,15,3.6,4,4,0.8,168.857,955.909,"NO_BUG"
"281",16,5,0,4,95,42,59.375,91,22,56.875,4,21,0.25,176.857,107.777,"NO_BUG"
"282",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,227.143,197.143,"NO_BUG"
"283",9,4,0,5,18,4,2,11,4,122.222,7,4,0.777778,217.143,863.968,"NO_BUG"
"284",65,7,0,7,643,217,989.231,787,324,121.077,-144,13,-221.538,367,607.758,"NO_BUG"
"285",4,4,0,1,3,1,0.75,3,1,0.75,0,0,0,126.571,740.476,"NO_BUG"
"286",5,2,0,1,40,19,8,1,1,0.2,39,18,7.8,914.286,137.143,"NO_BUG"
"287",109,15,0,8,2519,442,231.101,1822,290,167.156,697,213,63.945,367,155.613,"NO_BUG"
"288",36,13,0,7,351,130,9.75,208,130,577.778,143,58,397.222,333.143,723.289,"NO_BUG"
"289",10,5,0,1,85,55,8.5,13,3,1.3,72,54,7.2,787.143,154.303,"NO_BUG"
"290",7,3,0,5,11,4,157.143,8,4,114.286,3,3,0.428571,264.857,945.714,"BUG"
"291",36,13,0,7,482,175,133.889,288,175,8,194,76,538.889,333.143,720.033,"NO_BUG"
"292",2,0,0,2,0,0,0,0,0,0,0,0,0,135.714,0,"NO_BUG"
"293",38,3,0,7,476,152,125.263,395,152,103.947,81,56,213.158,367,105.485,"NO_BUG"
"294",157,13,0,8,2349,392,149.618,1852,392,117.962,497,295,316.561,367,944.644,"BUG"
"295",45,17,0,8,1126,157,250.222,729,306,16.2,397,148,882.222,281.714,67.46,"NO_BUG"
"296",78,15,1,7,1262,219,161.795,1014,246,13,248,205,317.949,255.714,648.228,"BUG"
"297",44,10,0,7,244,31,554.545,174,21,395.455,70,17,159.091,239.143,571.985,"BUG"
"298",33,5,0,5,168,74,509.091,141,74,427.273,27,11,0.818182,367,678.172,"NO_BUG"
"299",25,7,0,8,1229,291,49.16,765,122,30.6,464,169,18.56,220.143,812.442,"NO_BUG"
"300",28,6,0,6,115,34,410.714,75,34,267.857,40,11,142.857,351.857,720.658,"NO_BUG"
"301",226,71,0,10,50221,3693,222.217,44127,2958,195.252,6094,2050,269.646,367,910.942,"BUG"
"302",15,2,0,2,120,27,8,48,20,3.2,72,26,4.8,105,605.952,"BUG"
"303",38,7,0,6,496,105,130.526,478,105,125.789,18,9,0.473684,367,514.145,"NO_BUG"
"304",127,24,0,10,8666,1365,682.362,5536,1365,435.905,3130,546,246.457,367,112.494,"BUG"
"305",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,127,692.857,"NO_BUG"
"306",8,0,0,1,75,24,9.375,20,12,2.5,55,19,6.875,126,541.524,"NO_BUG"
"307",21,4,0,6,335,130,159.524,253,130,120.476,82,46,390.476,333.143,710.094,"NO_BUG"
"308",21,4,0,8,269,195,128.095,229,194,109.048,40,14,190.476,325.857,146.125,"NO_BUG"
"309",25,9,0,6,119,36,4.76,103,36,4.12,16,8,0.64,325.143,876.999,"NO_BUG"
"310",3,2,0,2,5,3,166.667,4,3,133.333,1,1,0.333333,111.714,131.714,"NO_BUG"
"311",239,59,0,10,14272,3055,597.155,13174,3055,551.213,1098,269,459.414,367,806.008,"BUG"
"312",54,9,0,6,525,115,972.222,494,115,914.815,31,21,0.574074,367,718.171,"NO_BUG"
"313",58,13,0,7,905,215,156.034,476,215,82.069,429,132,739.655,333.143,879.662,"NO_BUG"
"314",31,8,0,7,212,105,683.871,280,105,903.226,-68,8,-219.355,343,540.222,"BUG"
"315",98,26,0,13,15621,3028,159.398,12538,3026,127.939,3083,751,314.592,294.571,138.94,"NO_BUG"
"316",1,0,0,1,0,0,0,0,0,0,0,0,0,147.143,0,"NO_BUG"
"317",90,14,0,8,3173,548,352.556,3015,610,33.5,158,76,175.556,367,100.157,"NO_BUG"
"318",97,23,0,8,1990,289,205.155,1403,289,144.639,587,140,605.155,367,139.257,"BUG"
"319",36,5,0,5,310,59,861.111,307,59,852.778,3,10,0.0833333,367,68.859,"NO_BUG"
"320",3,2,0,2,24,18,8,97,87,323.333,-73,8,-243.333,122.714,573.929,"NO_BUG"
"321",18,4,0,7,64,14,355.556,33,10,183.333,31,12,172.222,248.571,580.045,"BUG"
"322",43,3,0,5,768,230,178.605,467,87,108.605,301,161,7,367,138.212,"NO_BUG"
"323",29,9,0,7,276,113,951.724,162,113,558.621,114,52,393.103,333.143,713.131,"NO_BUG"
"324",25,6,0,6,339,113,13.56,67,7,2.68,272,107,10.88,229.714,263.936,"NO_BUG"
"325",55,6,0,8,988,192,179.636,975,192,177.273,13,50,0.236364,367,112.65,"BUG"
"326",28,3,0,6,352,112,125.714,113,36,403.571,239,112,853.571,240.857,455.933,"NO_BUG"
"327",39,14,0,7,400,171,102.564,255,171,653.846,145,60,371.795,333.143,665.168,"NO_BUG"
"328",27,5,0,6,257,45,951.852,114,44,422.222,143,31,52.963,227.571,465.097,"BUG"
"329",22,4,0,5,268,61,121.818,99,30,4.5,169,31,768.182,236,179.238,"BUG"
"330",95,18,0,8,845,75,889.474,382,51,402.105,463,61,487.368,325.143,110.378,"NO_BUG"
"331",56,17,0,7,3556,587,63.5,4880,1041,871.429,-1324,307,-236.429,322.714,115.126,"BUG"
"332",38,13,0,7,356,130,936.842,214,130,563.158,142,58,373.684,333.143,71.937,"NO_BUG"
"333",1,0,0,1,0,0,0,0,0,0,0,0,0,122.857,0,"BUG"
"334",1,0,0,1,0,0,0,0,0,0,0,0,0,172.714,0,"NO_BUG"
"335",3,0,0,1,18,14,6,3,2,1,15,13,5,735.714,379.365,"NO_BUG"
"336",23,3,0,6,81,19,352.174,81,14,352.174,0,17,0,261.571,283.104,"NO_BUG"
"337",35,6,0,6,179,54,511.429,201,54,574.286,-22,5,-0.628571,367,582.705,"NO_BUG"
"338",1,0,0,1,0,0,0,0,0,0,0,0,0,338.571,0,"NO_BUG"
"339",19,6,0,5,47,9,247.368,64,9,336.842,-17,7,-0.894737,322.714,486.717,"NO_BUG"
"340",53,13,0,7,697,175,131.509,418,175,788.679,279,160,526.415,333.143,849.543,"NO_BUG"
"341",1,0,0,1,0,0,0,0,0,0,0,0,0,147.143,0,"NO_BUG"
"342",28,4,0,5,105,45,3.75,103,45,367.857,2,6,0.0714286,367,590.014,"NO_BUG"
"343",30,4,0,5,132,55,4.4,136,55,453.333,-4,7,-0.133333,367,504.026,"NO_BUG"
"344",15,4,0,4,144,60,9.6,145,60,966.667,-1,10,-0.0666667,347.857,517.669,"NO_BUG"
"345",66,16,0,9,1416,249,214.545,763,249,115.606,653,147,989.394,333.143,877.899,"NO_BUG"
"346",11,4,0,5,27,10,245.455,20,5,181.818,7,5,0.636364,321.714,714.709,"NO_BUG"
"347",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,127,692.857,"NO_BUG"
"348",70,8,0,9,809,102,115.571,625,102,892.857,184,51,262.857,367,157.035,"NO_BUG"
"349",2,0,0,2,1,1,0.5,6,6,3,-5,0,-2.5,145.714,5,"NO_BUG"
"350",34,4,0,5,163,68,479.412,164,68,482.353,-1,5,-0.0294118,367,473.216,"NO_BUG"
"351",48,12,0,9,778,144,162.083,318,144,6.625,460,94,958.333,333.143,906.761,"NO_BUG"
"352",42,6,0,7,262,115,62.381,204,115,485.714,58,14,138.095,270.143,138.27,"NO_BUG"
"353",24,8,0,5,1171,357,487.917,585,217,24.375,586,306,244.167,238.429,631.014,"NO_BUG"
"354",21,4,0,5,157,38,747.619,135,38,642.857,22,7,104.762,367,776.069,"NO_BUG"
"355",23,6,0,6,100,35,434.783,87,35,378.261,13,6,0.565217,367,850.928,"NO_BUG"
"356",92,6,0,9,1830,206,198.913,982,146,106.739,848,205,921.739,248.571,853.527,"BUG"
"357",75,7,0,7,2054,181,273.867,1763,181,235.067,291,112,3.88,367,726.069,"BUG"
"358",15,4,0,3,163,79,108.667,161,79,107.333,2,8,0.133333,367,472.287,"NO_BUG"
"359",318,166,0,10,17380,3852,546.541,12236,2861,38.478,5144,1378,161.761,333.143,977.421,"BUG"
"360",115,16,0,11,2006,339,174.435,1814,339,157.739,192,68,166.957,367,110.401,"BUG"
"361",20,4,0,6,106,37,5.3,97,32,4.85,9,27,0.45,243,944.892,"NO_BUG"
"362",90,7,0,9,2269,335,252.111,1645,335,182.778,624,96,693.333,367,143.248,"BUG"
"363",3,0,0,2,16,15,533.333,1,1,0.333333,15,15,5,112,383.036,"NO_BUG"
"364",37,4,0,6,706,351,190.811,739,351,19.973,-33,5,-0.891892,367,396.908,"NO_BUG"
"365",43,6,0,7,1703,718,396.047,1711,718,397.907,-8,44,-0.186047,367,419.631,"NO_BUG"
"366",16,5,0,6,60,13,3.75,43,9,26.875,17,6,10.625,325.143,102.576,"NO_BUG"
"367",80,11,0,6,1712,152,21.4,853,113,106.625,859,105,107.375,239.143,659.057,"BUG"
"368",166,72,0,11,4331,668,260.904,2972,616,179.036,1359,119,818.675,333.143,147.972,"BUG"
"369",16,3,0,4,144,45,9,121,29,75.625,23,22,14.375,236,215.427,"NO_BUG"
"370",34,12,0,7,314,123,923.529,179,123,526.471,135,60,397.059,333.143,707.502,"NO_BUG"
"371",9,4,0,4,44,22,488.889,39,22,433.333,5,5,0.555556,329,446.526,"BUG"
"372",38,6,0,6,385,132,101.316,305,132,802.632,80,23,210.526,367,60.177,"NO_BUG"
"373",12,4,0,5,40,11,333.333,14,4,116.667,26,11,216.667,240.143,206.786,"NO_BUG"
"374",17,3,0,4,106,23,623.529,24,6,141.176,82,23,482.353,227.571,922.237,"NO_BUG"
"375",51,9,0,7,426,143,835.294,394,143,772.549,32,13,0.627451,367,882.921,"NO_BUG"
"376",35,10,0,6,336,103,9.6,306,89,874.286,30,22,0.857143,322.714,757.976,"NO_BUG"
"377",66,11,0,8,885,193,134.091,823,193,124.697,62,53,0.939394,367,125.48,"NO_BUG"
"378",6,6,0,1,10,3,166.667,6,2,1,4,2,0.666667,168.857,945.857,"NO_BUG"
"379",121,27,0,9,1943,305,160.579,1245,305,102.893,698,150,576.859,367,146.939,"BUG"
"380",6,2,0,1,98,37,163.333,13,9,216.667,85,37,141.667,142,290.831,"NO_BUG"
"381",24,6,0,5,269,100,112.083,68,9,283.333,201,91,8.375,229.714,976.739,"NO_BUG"
"382",20,5,0,5,155,46,7.75,150,54,7.5,5,14,0.25,367,800.212,"NO_BUG"
"383",31,4,0,5,148,67,477.419,153,67,493.548,-5,4,-0.16129,367,521.911,"NO_BUG"
"384",66,6,0,9,2006,584,303.939,470,105,712.121,1536,556,232.727,329.143,996.814,"NO_BUG"
"385",33,4,0,7,310,87,939.394,86,19,260.606,224,68,678.788,261.571,129.549,"NO_BUG"
"386",13,4,0,3,86,47,661.538,49,13,376.923,37,35,284.615,136.571,120.282,"NO_BUG"
"387",43,10,0,8,485,178,112.791,140,46,325.581,345,132,802.326,320.714,153.406,"NO_BUG"
"388",1,0,0,1,0,0,0,0,0,0,0,0,0,338.571,0,"BUG"
"389",28,5,0,6,414,215,147.857,428,215,152.857,-14,6,-0.5,367,453.585,"NO_BUG"
"390",49,6,0,5,416,172,84.898,421,172,859.184,-5,15,-0.102041,367,574.475,"NO_BUG"
"391",14,9,0,3,45,11,321.429,25,6,178.571,20,9,142.857,168.857,521.873,"NO_BUG"
"392",71,22,0,11,877,133,123.521,531,133,747.887,346,48,487.324,333.143,129.753,"NO_BUG"
"393",64,12,0,7,1384,248,21.625,1316,248,205.625,68,44,10.625,367,111.665,"NO_BUG"
"394",26,8,0,5,67,10,257.692,43,9,165.385,24,10,0.923077,322.714,762.345,"NO_BUG"
"395",124,10,0,9,2029,568,163.629,1496,568,120.645,533,51,429.839,329,993.253,"BUG"
"396",4,3,0,2,6,4,1.5,6,4,1.5,0,0,0,183.857,309.762,"NO_BUG"
"397",64,6,0,7,714,232,111.563,652,232,101.875,62,39,0.96875,367,693.741,"NO_BUG"
"398",28,4,0,5,190,60,678.571,192,60,685.714,-2,7,-0.0714286,367,633.609,"NO_BUG"
"399",1,0,0,1,0,0,0,0,0,0,0,0,0,157.143,0,"NO_BUG"
"400",49,6,0,9,726,219,148.163,729,219,148.776,-3,23,-0.0612245,367,721.556,"NO_BUG"
"401",20,6,0,6,91,42,4.55,76,42,3.8,15,10,0.75,347.857,635.369,"NO_BUG"
"402",37,6,0,6,232,64,627.027,239,64,645.946,-7,11,-0.189189,367,461.823,"NO_BUG"
"403",30,3,0,5,572,138,190.667,570,138,19,2,10,0.0666667,367,775.457,"NO_BUG"
"404",82,11,0,9,1715,270,209.146,1266,524,15.439,449,265,547.561,222.857,544.049,"NO_BUG"
"405",56,9,0,8,657,141,117.321,398,53,710.714,259,140,4.625,250,147.079,"BUG"
"406",2,0,0,1,8,8,4,3,3,1.5,5,5,2.5,123.714,0.142857,"NO_BUG"
"407",20,6,0,7,250,94,12.5,124,60,6.2,126,43,6.3,192,152.038,"NO_BUG"
"408",13,5,0,4,95,68,730.769,88,68,676.923,7,5,0.538462,345.429,472.707,"NO_BUG"
"409",46,14,0,8,470,124,102.174,229,124,497.826,241,93,523.913,333.143,134.24,"NO_BUG"
"410",5,3,0,1,23,15,4.6,16,9,3.2,7,6,1.4,168.857,846.584,"NO_BUG"
"411",46,18,0,7,127,25,276.087,132,25,286.957,-5,18,-0.108696,181.429,330.315,"NO_BUG"
"412",8,6,0,2,46,29,5.75,12,7,1.5,34,22,4.25,126.571,671.366,"NO_BUG"
"413",52,5,0,7,690,175,132.692,711,175,136.731,-21,40,-0.403846,367,687.714,"NO_BUG"
"414",6,0,0,2,17,9,283.333,8,6,133.333,9,9,1.5,140.143,219.328,"NO_BUG"
"415",108,30,0,11,1416,164,131.111,970,164,898.148,446,83,412.963,333.143,159.011,"NO_BUG"
"416",123,13,0,9,2597,393,211.138,2389,393,194.228,208,66,169.106,367,130.377,"BUG"
"417",51,7,0,6,437,149,856.863,352,149,690.196,85,20,166.667,367,65.764,"NO_BUG"
"418",60,8,0,10,979,413,163.167,808,413,134.667,171,39,2.85,333,665.053,"BUG"
"419",12,4,0,6,71,49,591.667,69,54,5.75,2,7,0.166667,243,463.501,"BUG"
"420",61,18,0,7,601,116,985.246,498,116,816.393,103,28,168.852,367,952.008,"NO_BUG"
"421",21,4,0,8,290,107,138.095,51,15,242.857,239,107,11.381,228.429,142.847,"NO_BUG"
"422",95,11,0,8,2048,311,215.579,1923,311,202.421,125,28,131.579,367,883.375,"BUG"
"423",14,2,0,6,51,12,364.286,26,11,185.714,25,11,178.571,216.571,753.782,"BUG"
"424",63,23,0,10,2035,467,323.016,1133,467,179.841,902,139,143.175,333.143,107.323,"NO_BUG"
"425",12,10,0,2,139,38,115.833,130,77,108.333,9,16,0.75,126.571,411.747,"NO_BUG"
"426",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,338.571,308.571,"NO_BUG"
"427",25,4,0,5,421,100,16.84,300,69,12,121,60,4.84,367,106.91,"NO_BUG"
"428",40,4,0,8,373,105,9.325,329,105,8.225,44,14,1.1,329,681.264,"NO_BUG"
"429",2,1,0,2,1,1,0.5,1,1,0.5,0,0,0,127,692.857,"NO_BUG"
"430",28,4,0,7,178,58,635.714,175,58,6.25,3,8,0.107143,329,380.385,"NO_BUG"
"431",144,9,0,10,3312,537,23,1949,361,135.347,1363,176,946.528,367,227.626,"BUG"
"432",34,4,0,5,233,54,685.294,240,54,705.882,-7,6,-0.205882,367,778.087,"NO_BUG"
"433",69,10,0,7,823,171,119.275,442,171,64.058,381,145,552.174,359.857,56.821,"BUG"
"434",100,5,0,7,4966,645,49.66,5428,645,54.28,-462,55,-4.62,367,465.549,"BUG"
"435",3,0,0,2,6,5,2,8,7,266.667,-2,0,-0.666667,89,229.524,"NO_BUG"
"436",28,4,0,5,136,50,485.714,134,50,478.571,2,6,0.0714286,367,532.805,"NO_BUG"
"437",26,5,0,4,332,39,127.692,131,39,503.846,201,39,773.077,175.714,237.431,"NO_BUG"
"438",25,5,0,7,64,13,2.56,53,8,2.12,11,13,0.44,239.143,704.911,"NO_BUG"
"439",56,7,0,8,647,174,115.536,567,174,10.125,80,30,142.857,367,862.279,"BUG"
"440",6,2,0,3,42,22,7,25,9,416.667,17,17,283.333,169.143,256.633,"NO_BUG"
"441",46,8,0,6,1599,712,347.609,1693,825,368.043,-94,80,-204.348,367,400.115,"NO_BUG"
"442",11,2,0,3,44,16,4,35,11,318.182,9,5,0.818182,177.143,237.045,"NO_BUG"
"443",11,4,0,4,42,9,381.818,42,9,381.818,0,0,0,322.714,362.279,"NO_BUG"
"444",23,7,0,8,214,99,930.435,133,99,578.261,81,21,352.174,332,760.494,"NO_BUG"
"445",21,5,0,5,120,58,571.429,122,58,580.952,-2,6,-0.0952381,367,630.702,"NO_BUG"
"446",30,4,0,5,243,71,8.1,236,71,786.667,7,6,0.233333,367,474.062,"NO_BUG"
"447",60,4,0,8,890,212,148.333,769,281,128.167,121,131,201.667,249.143,321.392,"NO_BUG"
"448",9,4,0,6,49,11,544.444,31,10,344.444,18,9,2,220.143,385.423,"NO_BUG"
"449",6,0,0,3,302,143,503.333,287,143,478.333,15,143,2.5,845.714,236.272,"NO_BUG"
"450",68,11,0,9,2381,402,350.147,1288,141,189.412,1093,361,160.735,220.143,359.899,"BUG"
"451",84,9,0,7,1444,249,171.905,1425,249,169.643,19,15,0.22619,367,110.897,"BUG"
"452",17,3,0,4,106,23,623.529,24,6,141.176,82,23,482.353,227.571,922.237,"NO_BUG"
"453",15,4,0,5,55,10,366.667,68,18,453.333,-13,4,-0.866667,322.714,652.597,"NO_BUG"
"454",69,6,0,8,922,282,133.623,747,282,108.261,175,38,253.623,329,470.913,"NO_BUG"
"455",39,7,0,6,734,162,188.205,232,58,594.872,502,162,128.718,239.571,146.339,"NO_BUG"
"456",9,9,0,1,141,54,156.667,37,18,411.111,104,50,115.556,168.857,122.691,"NO_BUG"
"457",16,3,0,6,51,11,31.875,46,9,2.875,5,10,0.3125,261.571,258.964,"NO_BUG"
"458",144,10,0,9,3524,763,244.722,2994,763,207.917,530,86,368.056,367,134.697,"NO_BUG"
"459",6,3,0,2,58,22,966.667,21,14,3.5,37,17,616.667,140.143,277.192,"BUG"
"460",39,5,0,6,533,147,136.667,455,147,116.667,78,35,2,367,479.743,"NO_BUG"
"461",85,13,0,9,1168,274,137.412,526,106,618.824,642,274,755.294,240.857,567.549,"BUG"
"462",75,9,0,9,2010,555,26.8,2774,1321,369.867,-764,39,-101.867,367,406.723,"NO_BUG"
"463",14,4,0,6,92,64,657.143,94,70,671.429,-2,3,-0.142857,270.143,132.286,"NO_BUG"
"464",49,5,0,7,895,78,182.653,895,78,182.653,0,8,0,367,422.337,"NO_BUG"
"465",173,9,0,9,2305,458,133.237,1752,458,101.272,553,72,319.653,367,969.238,"NO_BUG"
"466",8,2,0,3,305,162,38.125,13,11,1.625,292,162,36.5,228.857,56.919,"NO_BUG"
"467",16,5,0,6,69,15,43.125,36,7,2.25,33,14,20.625,252.857,971.739,"NO_BUG"
"468",128,12,0,9,5536,1358,43.25,3522,1358,275.156,2014,449,157.344,367,164.919,"BUG"
"469",34,6,0,7,370,141,108.824,366,141,107.647,4,5,0.117647,367,423.432,"NO_BUG"
"470",83,8,0,7,2960,450,356.627,3359,450,404.699,-399,58,-480.723,367,361.602,"BUG"
"471",69,9,0,7,1470,235,213.043,1179,235,17.087,291,62,421.739,367,131.242,"BUG"
"472",8,5,0,3,17,6,2.125,20,9,2.5,-3,4,-0.375,184.571,104.076,"NO_BUG"
"473",33,5,0,5,291,81,881.818,279,81,845.454,12,20,0.363636,367,566.794,"NO_BUG"
"474",15,4,0,7,101,54,673.333,96,54,6.4,5,5,0.333333,329,551.117,"NO_BUG"
"475",4,3,0,2,6,4,1.5,6,4,1.5,0,0,0,184.571,317.143,"NO_BUG"
"476",49,5,0,7,334,51,681.633,269,51,54.898,65,23,132.653,367,986.069,"NO_BUG"
"477",74,8,0,5,4391,1328,593.378,4465,1328,603.378,-74,34,-1,367,526.632,"NO_BUG"
"478",15,5,0,7,87,39,5.8,70,39,466.667,17,10,113.333,329,619.277,"NO_BUG"
"479",4,0,0,1,25,16,6.25,14,12,3.5,11,14,2.75,140.143,184.571,"NO_BUG"
"480",48,7,0,7,8887,1598,185.146,9187,1854,191.396,-300,6,-6.25,367,508.267,"NO_BUG"
"481",9,2,0,3,55,20,611.111,55,46,611.111,0,20,0,190.714,211.013,"NO_BUG"
"482",1,0,0,1,0,0,0,0,0,0,0,0,0,147.143,0,"NO_BUG"
"483",45,13,0,9,583,204,129.556,349,204,775.556,234,94,5.2,333.143,757.047,"NO_BUG"
"484",94,6,0,8,2095,542,222.872,2143,579,227.979,-48,124,-0.510638,367,102.386,"BUG"
"485",40,5,0,9,337,49,8.425,129,36,3.225,208,49,5.2,239.143,614.837,"NO_BUG"
"486",94,5,0,9,1177,151,125.213,992,151,105.532,185,87,196.809,329,108.524,"BUG"
"487",105,17,0,9,3845,308,36.619,2468,312,235.048,1377,167,131.143,230.143,503.423,"BUG"
"488",6,2,0,3,26,7,433.333,16,5,266.667,10,6,166.667,175,239.945,"NO_BUG"
"489",46,5,0,8,748,166,162.609,386,43,83.913,362,129,786.956,234.571,306.146,"BUG"
"490",8,0,0,1,131,60,16.375,59,25,7.375,72,58,9,16,172.737,"BUG"
"491",28,9,0,7,287,113,10.25,155,113,553.571,132,61,471.429,333.143,734.545,"NO_BUG"
"492",132,50,0,7,6668,923,505.151,4784,808,362.424,1884,433,142.727,322.714,132.977,"BUG"
"493",6,2,0,2,67,28,111.667,26,15,433.333,41,21,683.333,178.143,486.098,"NO_BUG"
"494",41,4,0,7,209,39,509.756,171,39,417.073,38,14,0.926829,367,110.032,"NO_BUG"
"495",24,10,0,8,256,43,106.667,166,26,691.667,90,18,3.75,230.571,145.619,"NO_BUG"
"496",27,4,0,6,329,85,121.852,222,85,822.222,107,24,396.296,367,810.729,"NO_BUG"
"497",469,31,0,12,14901,2162,317.719,12570,2162,268.017,2331,334,497.015,367,905.064,"BUG"
"498",56,3,0,7,1017,186,181.607,918,186,163.929,99,37,176.786,367,922.651,"BUG"
"499",84,7,0,9,1376,249,16.381,989,200,117.738,387,237,460.714,248.571,638.602,"BUG"
"500",55,11,0,6,2135,325,388.182,1973,325,358.727,162,84,294.545,367,565.857,"NO_BUG"
"501",39,14,0,7,487,173,124.872,297,173,761.538,190,74,487.179,333.143,727.413,"NO_BUG"
"502",16,3,0,5,50,9,3.125,21,4,13.125,29,8,18.125,239.143,327.971,"NO_BUG"
"503",40,6,0,7,385,115,9.625,339,115,8.475,46,24,1.15,367,935.184,"NO_BUG"
"504",73,8,0,7,1847,572,253.014,2129,651,291.644,-282,19,-386.301,367,459.869,"NO_BUG"
"505",2,1,0,2,5,5,2.5,5,5,2.5,0,0,0,177.143,428.571,"BUG"
"506",14,5,0,4,62,14,442.857,28,5,2,34,13,242.857,159.857,469.885,"NO_BUG"
"507",1,0,0,1,0,0,0,0,0,0,0,0,0,338.571,0,"NO_BUG"
"508",35,8,0,7,514,124,146.857,235,124,671.429,279,76,797.143,333.143,859.722,"NO_BUG"
"509",7,6,0,1,29,20,414.286,47,36,671.429,-18,1,-257.143,168.857,587.685,"NO_BUG"
"510",3,1,0,3,21,20,7,13,12,433.333,8,8,266.667,122.857,441.497,"NO_BUG"
"511",41,5,0,8,172,20,419.512,155,32,378.049,17,8,0.414634,326.857,877.741,"NO_BUG"
"512",176,15,0,10,4315,737,24.517,3181,737,180.739,1134,101,644.318,367,115.47,"BUG"
"513",32,5,0,7,133,45,415.625,129,45,403.125,4,6,0.125,367,581.525,"NO_BUG"
"514",6,1,0,3,28,21,466.667,9,4,1.5,19,17,316.667,122.143,166.276,"NO_BUG"
"515",7,4,0,4,9,4,128.571,9,4,128.571,0,0,0,248.571,677.302,"NO_BUG"
"516",25,4,0,5,234,57,9.36,150,36,6,84,35,3.36,367,159.93,"BUG"
"517",56,6,0,9,1101,362,196.607,1125,362,200.893,-24,20,-0.428571,367,747.192,"NO_BUG"
"518",9,6,0,4,24,7,266.667,7,2,0.777778,17,7,188.889,127,717.738,"NO_BUG"
"519",20,4,0,5,99,44,4.95,142,44,7.1,-43,2,-2.15,367,601.457,"NO_BUG"
"520",10,3,0,4,21,5,2.1,18,5,1.8,3,3,0.3,191.571,37.898,"BUG"
"521",43,4,0,7,771,322,179.302,802,328,186.512,-31,21,-0.72093,367,562.944,"NO_BUG"
"522",12,5,0,4,61,17,508.333,33,7,2.75,28,10,233.333,217,113.841,"NO_BUG"
"523",62,12,0,6,797,160,128.548,671,160,108.226,126,31,203.226,367,946.232,"NO_BUG"
"524",31,4,0,6,352,77,113.548,146,64,470.968,206,53,664.516,227.571,841.364,"BUG"
"525",49,8,0,10,322,37,657.143,242,42,493.878,80,30,163.265,239.143,56.287,"NO_BUG"
"526",35,4,0,7,613,171,175.143,566,164,161.714,47,28,134.286,367,872.589,"NO_BUG"
"527",29,6,0,6,653,170,225.172,87,16,3,566,170,195.172,237.714,113.424,"NO_BUG"
"528",6,3,0,3,142,68,236.667,6,4,1,136,68,226.667,222.857,106.881,"NO_BUG"
"529",15,6,0,4,133,34,886.667,101,39,673.333,32,20,213.333,217,158.364,"NO_BUG"
"530",210,49,0,11,9587,1441,456.524,7432,1441,353.905,2155,359,102.619,333.143,953.919,"NO_BUG"
"531",11,2,0,3,416,224,378.182,166,99,150.909,250,180,227.273,867.143,10.285,"NO_BUG"
"532",5,1,0,2,14,6,2.8,9,5,1.8,5,6,1,183.571,672.551,"NO_BUG"
"533",1,0,0,1,0,0,0,0,0,0,0,0,0,285.714,0,"NO_BUG"
"534",34,8,0,6,426,140,125.294,418,157,122.941,8,22,0.235294,367,951.472,"NO_BUG"
"535",31,4,0,7,242,95,780.645,239,95,770.968,3,9,0.0967742,367,536.429,"NO_BUG"
"536",73,15,0,8,490,95,671.233,446,95,610.959,44,19,0.60274,367,97.614,"NO_BUG"
"537",45,10,0,8,411,146,913.333,230,146,511.111,181,61,402.222,333.143,652.517,"NO_BUG"
"538",22,4,0,5,407,195,18.5,414,195,188.182,-7,21,-0.318182,367,401.183,"NO_BUG"
"539",6,2,0,3,12,7,2,12,7,2,0,0,0,246.714,648.452,"NO_BUG"
"540",2,0,0,1,0,0,0,0,0,0,0,0,0,162.429,0,"NO_BUG"
"541",41,1,0,6,324,37,790.244,695,254,169.512,-371,28,-904.878,258.143,47.142,"BUG"
"542",10,3,0,5,148,64,14.8,16,4,1.6,132,64,13.2,240.857,600.676,"NO_BUG"
"543",6,0,0,2,12,5,2,4,1,0.666667,8,5,133.333,125,500.357,"NO_BUG"
